4908	2068	3817	1683	2831
3122	3283	4660	1808	4506
1082	3227	4422	3598	4775
3483	4915	2017	2909	4740
2446	2946	2562	2898	2858
3454	4312	4360	4185	3178
3076	4112	1703	3236	3895
2821	1927	1965	3996	4265
2880	2921	1662	1770	1810
4563	4441	4876	2300	1297
4505	4688	2608	2228	4283
4254	1251	3705	2681	3684
1603	1663	2392	3330	3150
2635	4945	1654	1137	1356
2112	2180	1992	3415	3475
2069	1214	4344	2659	3559
4249	1556	1049	2908	2819
4641	3445	3834	2212	2279
1709	1972	1687	4991	4465
4606	1133	1653	3157	4074
1805	3739	4044	4505	3921
3079	1804	2015	1104	2628
2174	1100	1935	2363	2608
2229	1165	3707	3174	1888
1042	2851	2361	1151	1769
4404	4821	1807	1085	1790
2638	1345	1630	1426	4692
4954	1801	1502	2421	1216
4522	3518	2199	3630	4596
4986	1170	3128	1194	2835
1169	3416	4039	1097	4179
1161	1952	1312	2588	4624
4504	1210	1210	2104	4908
4510	4669	3236	2526	3163
1483	4440	2344	3910	1878
3450	3224	2865	3476	3277
1246	4800	3873	2764	4045
2216	3552	2428	3893	2918
2928	1469	2146	1572	3679
1669	2179	4709	3905	3993
3753	4688	2565	4815	1696
4823	2267	3204	1230	2270
2013	1780	3713	2202	1514
4282	3583	1852	3276	1808
3287	2559	2441	2832	3547
4439	2411	3010	3383	2379
3935	3600	3751	2907	4236
2327	2864	2715	2192	4399
2305	4278	4310	4890	2574
2174	4617	2855	2252	2452
1286	2907	1194	1858	1089
2507	2343	1319	4902	3860
2712	1367	1867	4352	3578
3386	4374	4442	1625	2739
2053	2030	4369	4845	1415
4370	1565	3771	2084	4570
1503	1540	4749	3487	3439
1404	2486	4194	3608	3787
1750	1510	2013	3417	2540
1197	2328	1616	4203	4430
1338	3174	3989	4505	2487
2066	2881	2591	4060	2842
4093	1475	4218	2159	3076
1876	1414	1535	3506	3190
1786	2327	4957	1145	3809
4884	3328	4567	1342	3422
4448	2179	1633	1173	1510
4566	4067	3089	2735	2046
1788	1044	4889	4795	1777
4410	1315	2471	2357	3414
3850	4831	3930	1801	2817
3343	4581	4032	2452	3954
3073	2946	1540	2534	3425
4861	1816	1314	4521	1935
3433	4668	4559	1407	4208
3004	4646	1745	3205	1995
1707	4754	2077	4619	4731
2608	2029	2503	4573	1170
3690	3773	4245	2211	2514
4791	3546	4855	2865	4056
4437	2312	2481	1574	4452
1550	3173	4867	1256	4434
1260	4753	2813	1319	2714
3234	1403	1394	3775	3494
2092	3539	2175	1775	1667
3612	1212	4954	2021	2273
3782	1228	2541	2612	2435
3054	3590	1152	4086	3190
3640	2390	1013	2044	4639
4792	1827	3775	2251	2032
2524	2747	1487	2903	1081
1282	1059	1275	2851	3422
3867	1947	2839	4303	2867
4357	3815	1514	2719	3820
3707	4335	4134	4285	3658
1936	3399	1800	1303	3559
4444	4444	4444	4444	4444
